,code,allergen
1795529,8722700118497,en:soybeans
1286197,5400247032546,en:mustard
1286197,5400247032546,en:sulphur-dioxide-and-sulphites
294471,0209091010930,en:eggs
294471,0209091010930,en:milk
1170380,4311501451502,en:gluten
1286256,5400247050571,en:eggs
1286256,5400247050571,en:gluten
1286256,5400247050571,en:milk
1286256,5400247050571,en:nuts
1286256,5400247050571,en:soybeans
1286297,5400247059789,en:gluten
1286297,5400247059789,en:sulphur-dioxide-and-sulphites
1286303,5400247060952,en:fish
1286303,5400247060952,en:mustard
1172801,4311596418459,en:milk
658238,3033491008498,en:milk
658106,3033490853587,en:milk
658276,3033491027284,en:milk
660150,3033710086702,en:celery
660150,3033710086702,en:gluten
522520,20594244,en:crustaceans
522520,20594244,en:sulphur-dioxide-and-sulphites
843987,3392460486119,en:gluten
843987,3392460486119,en:milk
665414,3046920025584,en:soybeans
1182739,4388844086500,en:gluten
1182739,4388844086500,en:sesame-seeds
1286316,5400247062161,en:fish
1286317,5400247062222,en:nuts
663452,3041090994104,en:fish
656389,3023290798591,en:milk
661491,3038354981451,en:eggs
661491,3038354981451,en:gluten
661491,3038354981451,en:sulphur-dioxide-and-sulphites
661489,3038354731704,en:celery
661489,3038354731704,en:eggs
661489,3038354731704,en:milk
661489,3038354731704,en:mustard
1170048,4311501400197,en:milk
716174,3242272252962,en:eggs
716174,3242272252962,en:gluten
716174,3242272252962,en:milk
716188,3242272256359,en:eggs
716188,3242272256359,en:gluten
716188,3242272256359,en:milk
549665,22128768,en:gluten
549665,22128768,en:milk
549665,22128768,en:nuts
549665,22128768,en:soybeans
549665,22128768,de:haselnusssauce
549155,22114594,en:celery
549155,22114594,en:mustard
662338,3038910000428,en:milk
1150602,42178149,en:eggs
1150602,42178149,en:gluten
1150602,42178149,en:milk
1150602,42178149,en:soybeans
1150602,42178149,de:vollmichpulver
1267711,5291803001263,en:milk
655473,3023260029663,en:milk
508384,20165352,en:milk
656238,3023290290613,en:milk
656338,3023290633816,en:milk
656165,3023290205099,en:milk
656384,3023290798225,en:milk
656046,3023290101308,en:milk
656046,3023290101308,en:soybeans
656424,3023292289295,en:milk
656162,3023290204559,en:milk
665442,3046920027915,en:milk
665442,3046920027915,en:soybeans
1228855,5028403154903,en:gluten
2289,00025157,en:gluten
2289,00025157,en:milk
521130,20533878,en:gluten
1391616,7501000645299,en:eggs
1391616,7501000645299,en:gluten
1391616,7501000645299,en:milk
1391616,7501000645299,en:nuts
1391616,7501000645299,en:peanuts
1391616,7501000645299,en:soybeans
1391616,7501000645299,es:coco
520284,20501938,en:gluten
520288,20502065,en:gluten
988206,3760020067038,en:fish
1353906,6078410773863,en:milk
715658,3240931538655,en:eggs
715658,3240931538655,en:gluten
715658,3240931538655,en:milk
715658,3240931538655,en:soybeans
1147177,4103520000461,en:nuts
658162,3033490913250,en:milk
658162,3033490913250,en:soybeans
658161,3033490913243,en:milk
658161,3033490913243,en:soybeans
657973,3033490179861,en:milk
658035,3033490593858,en:milk
658037,3033490593872,en:milk
658018,3033490506605,en:milk
1172835,4311596428991,en:milk
1247685,5060077680173,en:gluten
1581066,8076809542180,en:gluten
1561268,8033102690055,en:eggs
1561268,8033102690055,en:gluten
1561268,8033102690055,en:milk
1561268,8033102690055,en:nuts
1561268,8033102690055,en:soybeans
1353861,6068824077121,en:eggs
1353861,6068824077121,en:gluten
1353861,6068824077121,en:milk
1353861,6068824077121,en:nuts
1353861,6068824077121,en:soybeans
1353861,6068824077121,en:coconut
840928,3384230030097,en:eggs
503915,20069230,en:gluten
503915,20069230,en:milk
716322,3242272848158,en:eggs
716322,3242272848158,en:gluten
716322,3242272848158,en:milk
716322,3242272848158,en:mustard
716322,3242272848158,en:sulphur-dioxide-and-sulphites
716139,3242272001058,en:eggs
716139,3242272001058,en:gluten
716139,3242272001058,en:milk
716139,3242272001058,en:mustard
899514,3545360020017,en:mustard
657865,3033210009157,en:gluten
657865,3033210009157,en:milk
657865,3033210009157,en:soybeans
989104,3760023243118,en:gluten
35289,0020100000465,en:fish
35288,0020100000212,en:fish
35288,0020100000212,en:soybeans
339984,0620514006734,en:corn
279520,0200696012206,en:milk
1185517,4400002007,en:gluten
1185517,4400002007,en:milk
1185517,4400002007,en:soybeans
1149965,418930,en:eggs
1149965,418930,en:gluten
1149965,418930,en:milk
1149965,418930,en:soybeans
716432,3242272981152,en:eggs
716432,3242272981152,en:fish
716432,3242272981152,en:gluten
716432,3242272981152,en:mustard
605592,25538230038,en:eggs
605592,25538230038,en:gluten
605592,25538230038,en:milk
605592,25538230038,en:soybeans
491417,2000000003268,en:milk
1832084,9328358003216,en:gluten
1832084,9328358003216,en:milk
1832084,9328358003216,en:sesame-seeds
1832084,9328358003216,en:soybeans
491375,2000000002705,en:oats
476749,0992320002003,en:eggs
368247,0703741000178,en:gluten
368247,0703741000178,en:milk
662230,3038680801119,en:fish
715679,3240931539423,en:gluten
715679,3240931539423,en:milk
747,0000084154071,en:mustard
656089,3023290114940,en:milk
692374,3175248502689,en:eggs
692374,3175248502689,en:milk
1173071,4311596469918,en:milk
1173071,4311596469918,en:nuts
1173071,4311596469918,en:soybeans
842432,3389090017622,en:crustaceans
842432,3389090017622,en:eggs
842432,3389090017622,en:fish
842432,3389090017622,en:milk
842432,3389090017622,en:sulphur-dioxide-and-sulphites
676051,3100080006422,en:celery
1801510,8850781700512,en:peanuts
1801510,8850781700512,en:soybeans
1796235,8725000637514,en:gluten
1261013,5177551773778,en:eggs
1261013,5177551773778,en:milk
1261013,5177551773778,en:soybeans
1229566,5030101023160,en:gluten
1229566,5030101023160,en:soybeans
1229566,5030101023160,en:sweetened condensed milk
1229566,5030101023160,en:wheat fibre
1229566,5030101023160,en:wheat gluten
1229566,5030101023160,en:whole milk powder
1149088,4104638601434,en:gluten
1286186,5400247032317,en:gluten
1147671,4104420025684,en:nuts
522021,20573119,de:joghurt mild
520450,20507800,en:milk
677121,3103220020562,en:gluten
1286283,5400247056801,en:gluten
1286283,5400247056801,en:milk
1752992,8594009920046,en:ječné
1063760,3830001713664,en:ječmen
1063760,3830001713664,en:ječmenov
524058,20657390,en:molluscs
660533,3036811362232,en:milk
1286185,5400247032300,en:gluten
1286185,5400247032300,en:soybeans
844614,3394610002743,en:celery
844614,3394610002743,en:crustaceans
844614,3394610002743,en:eggs
844614,3394610002743,en:fish
844614,3394610002743,en:gluten
844614,3394610002743,en:milk
660419,3036810050161,en:celery
660419,3036810050161,en:crustaceans
660419,3036810050161,en:fish
660419,3036810050161,en:gluten
660419,3036810050161,en:milk
660419,3036810050161,fr:croûtons
1174327,4316268466202,en:eggs
1290014,5410038301355,en:milk
1290014,5410038301355,en:nuts
1290014,5410038301355,en:peanuts
1290014,5410038301355,en:soybeans
664902,3045320525083,en:eggs
664902,3045320525083,en:gluten
664902,3045320525083,en:milk
5,0000000000100,en:mustard
658026,3033490544324,en:milk
658026,3033490544324,en:soybeans
544163,22008275,en:milk
544163,22008275,en:soybeans
656377,3023290797334,en:milk
491328,2000000002171,en:milk
660834,3036812050626,en:celery
660834,3036812050626,en:gluten
660834,3036812050626,en:milk
508878,20177478,en:gluten
508878,20177478,en:milk
655438,3023260028079,en:milk
713950,3230890037092,en:gluten
713950,3230890037092,en:milk
713950,3230890037092,en:soybeans
714237,3230890815638,en:gluten
714237,3230890815638,en:milk
